time_s,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1.658000000,-0.211116733,0.498109587,-1.952357988,3.076277173,1.499729494,-0.000234679
1.660000000,-0.211113789,0.498105920,-1.952563508,3.077098881,1.499679038,-0.000151295
1.662000000,-0.211110836,0.498102250,-1.952767925,3.077920208,1.499628331,-0.000098096
1.664000000,-0.211107874,0.498098578,-1.952971242,3.078741132,1.499577434,-0.000064289
1.666000000,-0.211104905,0.498094903,-1.953173462,3.079561630,1.499526431,-0.000042997
1.668000000,-0.211101927,0.498091226,-1.953374589,3.080381671,1.499475397,-0.000029846
1.670000000,-0.211098942,0.498087547,-1.953574624,3.081201223,1.499424379,-0.000022062
1.672000000,-0.211095951,0.498083867,-1.953773569,3.082020249,1.499373390,-0.000017886
1.674000000,-0.211092952,0.498080185,-1.953971424,3.082838717,1.499322423,-0.000016247
1.676000000,-0.211090915,0.498077503,-1.954168180,3.083664387,1.499271555,-0.010027743
1.678000000,-0.211086711,0.498072527,-1.954363662,3.084478070,1.499221821,-0.006418688
1.680000000,-0.211083760,0.498069005,-1.954558277,3.085291788,1.499169998,-0.004108881
1.682000000,-0.211080727,0.498065318,-1.954751824,3.086105725,1.499117835,-0.002630625
1.684000000,-0.211077748,0.498061672,-1.954944295,3.086919637,1.499065864,-0.001684561
1.686000000,-0.211074766,0.498058026,-1.955135656,3.087733409,1.499014416,-0.001079103
1.688000000,-0.211071755,0.498054361,-1.955325896,3.088546955,1.498963400,-0.000691642
1.690000000,-0.211068716,0.498050678,-1.955515014,3.089360206,1.498912533,-0.000443708
1.692000000,-0.211065655,0.498046982,-1.955703014,3.090173101,1.498861541,-0.000285089
1.694000000,-0.211062578,0.498043278,-1.955889897,3.090985584,1.498810256,-0.000183656
1.696000000,-0.211059490,0.498039569,-1.956075662,3.091797599,1.498758630,-0.000118858
1.698000000,-0.211056391,0.498035855,-1.956260307,3.092609093,1.498706706,-0.000077560
1.700000000,-0.211053284,0.498032139,-1.956443829,3.093420017,1.498654565,-0.000051375
1.702000000,-0.211050174,0.498028426,-1.956626228,3.094230328,1.498602284,-0.000034957
1.704000000,-0.211047065,0.498024717,-1.956807503,3.095039998,1.498549940,-0.000024898
1.706000000,-0.211043955,0.498021012,-1.956987653,3.095849006,1.498497592,-0.000019026
1.708000000,-0.211040844,0.498017310,-1.957166675,3.096657340,1.498445265,-0.000015959
1.710000000,-0.211037730,0.498013610,-1.957344565,3.097464994,1.498392953,-0.000014870
1.712000000,-0.211035536,0.498010871,-1.957521311,3.098279613,1.498340850,-0.009727829
1.714000000,-0.211031274,0.498005931,-1.957696746,3.099082422,1.498289549,-0.006226939
1.716000000,-0.211028222,0.498002398,-1.957871256,3.099885241,1.498236341,-0.003986359
1.718000000,-0.211025083,0.497998701,-1.958044645,3.100688284,1.498182841,-0.002552407
1.720000000,-0.211021996,0.497995041,-1.958216906,3.101491342,1.498129526,-0.001634696
1.722000000,-0.211018906,0.497991384,-1.958388011,3.102294322,1.498076697,-0.001047384
1.724000000,-0.211015791,0.497987710,-1.958557949,3.103097156,1.498024272,-0.000671532
1.726000000,-0.211012652,0.497984021,-1.958726722,3.103899783,1.497971993,-0.000431025
1.728000000,-0.211009493,0.497980321,-1.958894332,3.104702141,1.497919613,-0.000277152
1.730000000,-0.211006322,0.497976615,-1.959060784,3.105504163,1.497866983,-0.000178746
1.732000000,-0.211003140,0.497972905,-1.959226078,3.106305781,1.497814067,-0.000115870
1.734000000,-0.210999950,0.497969192,-1.959390214,3.107106922,1.497760911,-0.000075777
1.736000000,-0.210996752,0.497965477,-1.959553192,3.107907512,1.497707600,-0.000050324
1.738000000,-0.210993548,0.497961761,-1.959715012,3.108707480,1.497654221,-0.000034314
1.740000000,-0.210990337,0.497958045,-1.959875672,3.109506757,1.497600839,-0.000024428
1.742000000,-0.210987121,0.497954327,-1.960035170,3.110305286,1.497547488,-0.000018537
1.744000000,-0.210983899,0.497950610,-1.960193507,3.111103016,1.497494173,-0.000015276
1.746000000,-0.210980672,0.497946892,-1.960350681,3.111899911,1.497440881,-0.000013798
1.748000000,-0.210977440,0.497943175,-1.960506689,3.112695947,1.497387589,0.000013646
1.750000000,-0.210974042,0.497939191,-1.960661349,3.113496885,1.497335584,-0.007530961
1.752000000,-0.210970822,0.497935597,-1.960815041,3.114287985,1.497281773,-0.004821132
1.754000000,-0.210967578,0.497931917,-1.960967586,3.115079171,1.497227488,-0.003086857
1.756000000,-0.210964353,0.497928222,-1.961118991,3.115870295,1.497173204,-0.001976938
1.758000000,-0.210961154,0.497924551,-1.961269234,3.116661252,1.497119333,-0.001266609
1.760000000,-0.210957939,0.497920871,-1.961418297,3.117452006,1.497065944,-0.000812021
1.762000000,-0.210954701,0.497917177,-1.961566182,3.118242532,1.497012838,-0.000521115
1.764000000,-0.210951444,0.497913471,-1.961712892,3.119032805,1.496959748,-0.000334975
1.766000000,-0.210948172,0.497909758,-1.961858433,3.119822796,1.496906474,-0.000215899
1.768000000,-0.210944890,0.497906041,-1.962002809,3.120612468,1.496852924,-0.000139765
1.770000000,-0.210941599,0.497902322,-1.962146023,3.121401769,1.496799102,-0.000091147
1.772000000,-0.210938301,0.497898601,-1.962288077,3.122190643,1.496745073,-0.000060179
1.774000000,-0.210934996,0.497894879,-1.962428970,3.122979020,1.496690918,-0.000040559
1.776000000,-0.210931686,0.497891157,-1.962568706,3.123766832,1.496636710,-0.000028261
1.778000000,-0.210928370,0.497887434,-1.962707283,3.124554005,1.496582493,-0.000020701
1.780000000,-0.210925049,0.497883711,-1.962844703,3.125340472,1.496528283,-0.000016211
1.782000000,-0.210921723,0.497879988,-1.962980966,3.126126171,1.496474071,-0.000013719
1.784000000,-0.210918393,0.497876266,-1.963116070,3.126911052,1.496419836,-0.000012565
1.786000000,-0.210915058,0.497872545,-1.963250016,3.127695075,1.496365553,0.000012398
1.788000000,-0.210911555,0.497868560,-1.963382629,3.128483845,1.496312481,-0.007266233
1.790000000,-0.210908244,0.497864966,-1.963514271,3.129262944,1.496257529,-0.004651918
1.792000000,-0.210904896,0.497861280,-1.963644764,3.130042032,1.496202163,-0.002978772
1.794000000,-0.210901113,0.497857387,-1.963773751,3.130820791,1.496149792,-0.001907971
1.796000000,-0.210893410,0.497851020,-1.963899087,3.131598705,1.496115283,-0.001222668
1.798000000,-0.210880037,0.497840552,-1.964020243,3.132375773,1.496091996,-0.000784101
1.800000000,-0.210862082,0.497826725,-1.964138116,3.133151970,1.496062579,-0.000503453
1.802000000,-0.210841136,0.497810706,-1.964253799,3.133927440,1.496015592,-0.000323876
1.804000000,-0.210818451,0.497793418,-1.964368137,3.134702464,1.495949620,-0.000208988
1.806000000,-0.210794834,0.497775459,-1.964481676,3.135477366,1.495870629,-0.000135505
1.808000000,-0.210770762,0.497757181,-1.964594739,3.136252421,1.495787380,-0.000088526
1.810000000,-0.210746509,0.497738786,-1.964707517,3.137027784,1.495707598,-0.000058512
1.812000000,-0.210722232,0.497720391,-1.964820117,3.137803466,1.495635926,-0.000039357
1.814000000,-0.210698015,0.497702060,-1.964932589,3.138579340,1.495573555,-0.000027145
1.816000000,-0.210673892,0.497683816,-1.965044944,3.139355178,1.495518997,-0.000019362
1.818000000,-0.210649857,0.497665655,-1.965157162,3.140130697,1.495469329,-0.000014391
1.820000000,-0.210625879,0.497647557,-1.965269199,3.140905607,1.495421397,-0.000011191
1.822000000,-0.210601922,0.497629493,-1.965381001,3.141679643,1.495372679,-0.000009101
1.824000000,-0.210577951,0.497611436,-1.965492507,3.142452594,1.495321695,-0.000007712
1.826000000,-0.210553938,0.497593367,-1.965603657,3.143224310,1.495268018,-0.000006776
1.828000000,-0.210529872,0.497575277,-1.965714392,3.143994701,1.495212020,-0.000006151
1.830000000,-0.210505752,0.497557164,-1.965824656,3.144763737,1.495154511,-0.000005755
1.832000000,-0.210481585,0.497539034,-1.965934394,3.145531432,1.495096392,-0.000005537
1.834000000,-0.210457384,0.497520894,-1.966043552,3.146297835,1.495038406,-0.000005457
1.836000000,-0.210433160,0.497502750,-1.966152071,3.147063026,1.494981006,-0.000005481
1.838000000,-0.210408929,0.497484602,-1.966259899,3.147827109,1.494924356,-0.000005581
1.840000000,-0.210384713,0.497466420,-1.966367000,3.148590218,1.494868394,-0.000005740
1.842000000,-0.210360551,0.497448067,-1.966473403,3.149352507,1.494812836,-0.000005961
1.844000000,-0.210336374,0.497428997,-1.966579335,3.150113955,1.494757235,-0.000006216
1.846000000,-0.210311636,0.497409718,-1.966684606,3.150873933,1.494701004,-0.000006318
1.848000000,-0.210286604,0.497382163,-1.966786583,3.151636233,1.494644814,-0.000006880
1.850000000,-0.210259392,0.497326951,-1.966902649,3.152409737,1.494596988,-0.000006946
1.852000000,-0.210203427,0.497278299,-1.967024183,3.153173943,1.494609885,-0.000006235
1.854000000,-0.210081704,0.497234687,-1.967135222,3.153916073,1.494770835,-0.000004863
1.856000000,-0.209881878,0.497214649,-1.967205895,3.154643055,1.495022908,-0.008447607
1.858000000,-0.209613093,0.497189765,-1.967240283,3.155297824,1.495197006,-0.005408139
1.860000000,-0.209297532,0.497141999,-1.967250905,3.155887315,1.495212659,-0.003462809
1.862000000,-0.208944950,0.497060848,-1.967241080,3.156412081,1.495071885,-0.002217764
1.864000000,-0.208563586,0.496942812,-1.967213599,3.156884037,1.494826818,-0.001420908
1.866000000,-0.208159581,0.496785245,-1.967171586,3.157323593,1.494547089,-0.000910899
1.868000000,-0.207737796,0.496587306,-1.967118250,3.157755280,1.494291657,-0.000584479
1.870000000,-0.207302256,0.496349458,-1.967056827,3.158203943,1.494095083,-0.000375560
1.872000000,-0.206856329,0.496072789,-1.966990523,3.158692158,1.493966206,-0.000241847
1.874000000,-0.206402777,0.495758689,-1.966922380,3.159238441,1.493894394,-0.000156271
1.876000000,-0.205943777,0.495408690,-1.966855194,3.159856083,1.493858799,-0.000101507
1.878000000,-0.205480960,0.495024394,-1.966791472,3.160552550,1.493837174,-0.000066466
1.880000000,-0.205015473,0.494607430,-1.966733416,3.161329415,1.493812043,-0.000044053
1.882000000,-0.204548065,0.494159444,-1.966682930,3.162182723,1.493773484,-0.000029727
